Year,Month,RentalNum(K),StationNum,BikeNum(K),LaneLength(km),FreePlan,Temperature,Humidity(%),Sunshine(hr),Rainfull(mm),Raindays,COVIDTaiwan(K),COVIDTaipei(K),MRTCarryNum(K),BusCarryNum(K)
100,1,9.4,21,3,236.71,1,13.7,83,17.1,71.9,25,0,0,46769.3,52353
100,2,18.6,21,3,236.71,1,16.9,78,87.8,68,14,0,0,42217.6,42942.6
100,3,6.3,21,3,236.71,1,16.2,74,55,119.1,12,0,0,48818.4,55112.5
100,4,35.8,21,3,236.71,1,21.7,68,153.1,27.4,7,0,0,47205.2,51527.5
100,5,28.1,21,3,236.71,1,24.8,78,94.2,222,18,0,0,46653.3,54115.6
100,6,26.9,21,3,236.71,1,29,74,145.7,284.6,13,0,0,44438.8,50353.9
100,7,34.6,21,3,247.6,1,29.7,73,181.7,264.2,14,0,0,48204.3,50758.5
100,8,26.6,21,3,247.6,1,29.6,73,195.7,166.6,17,0,0,47806.2,51375.1
100,9,38.7,21,3,247.6,1,27.6,71,170,51.6,9,0,0,46440.2,52621.3
100,10,39,21,3,247.6,1,24.1,77,53.3,92.6,13,0,0,48612.7,53728.4
100,11,29.2,21,3,247.6,1,22.9,79,74.5,231.2,18,0,0,47637.2,53278.8
100,12,18.3,21,3,247.6,1,16.7,83,23.5,159.4,20,0,0,51601.3,55177.7
101,1,22.7,21,3,247.6,1,15.9,86,23,157.4,16,0,0,46910.5,45837.7
101,2,25.8,21,3,247.6,1,16.4,86,43.7,268.8,15,0,0,48222.3,48530.4
101,3,35.5,21,3,247.6,1,18.8,78,109,85.4,13,0,0,51761.3,54665.7
101,4,41.3,21,3,247.6,1,23.1,76,61.2,289.1,23,0,0,48278.8,51173.1
101,5,32,21,3,247.6,1,25.9,71,127.7,231.2,18,0,0,50131.1,54231.2
101,6,30.1,21,3,247.6,1,27.8,73,77,625.6,16,0,0,47661,49982.2
101,7,35.9,21,3,246.99,1,30.6,65,206.8,162.8,8,0,0,50456.6,50225.5
101,8,17.4,51,4,246.99,1,29.2,75,158.7,518.9,19,0,0,49651.3,50105.9
101,9,171.7,51,4,246.99,1,27.3,70,140.2,85,11,0,0,48795.6,51501.9
101,10,319.4,51,4,246.99,1,24.1,67,154.7,64,7,0,0,53218.4,53818.8
101,11,287.8,51,4,246.99,1,21.2,74,80.9,232.7,15,0,0,51654.2,51934.7
101,12,301.7,58,4.2,246.99,1,17.8,77,74.1,189.4,18,0,0,55458.2,53121.3
102,1,367.6,63,4.3,249.75,1,16.7,75,79.1,93,13,0,0,52749.5,51392.1
102,2,475.4,68,4.5,249.75,1,18.8,75,69.9,34.4,5,0,0,45786.7,42199.5
102,3,666.6,72,4.6,249.75,1,19.9,69,117.7,49.1,11,0,0,54349.3,53066
102,4,607.6,74,4.7,249.75,1,21.1,74,53.6,253,21,0,0,50270,49854.7
102,5,819.6,78,4.8,249.75,1,26,72,77.4,338.4,16,0,0,53058.5,53253.2
102,6,921.7,80,4.9,249.75,1,29.2,69,107.9,203.1,15,0,0,50466.5,48682.6
102,7,986.4,90,5.1,434.33,1,29.5,68,156.7,240.5,11,0,0,52949.8,47249.2
102,8,1151.7,113,6,434.33,1,29.6,68,159.6,808.7,13,0,0,52984.1,46458.6
102,9,1281.2,118,6.1,434.33,1,27.9,67,194.1,143.1,10,0,0,50472,47049.1
102,10,1405.4,130,6.5,434.33,1,24.2,68,97.1,102.4,12,0,0,54652.2,50907.9
102,11,1476.8,134,6.7,434.62,1,21.2,68,90.7,46,11,0,0,55447.6,49284.9
102,12,1188.3,146,7,434.62,1,16.4,71,57.6,229.7,20,0,0,61775,50063.8
103,1,1568.9,168,7.7,491.03,1,16.8,62,144.5,21.8,5,0,0,55842.6,44518.3
103,2,1284.6,168,7.7,491.47,1,16.5,71,81.2,198,14,0,0,52200.3,38301.9
103,3,1801.9,169,7.7,491.47,1,18.9,72,66.9,147,14,0,0,59584.3,46603.5
103,4,1976.8,169,7.7,491.47,1,22.5,77,99.5,98.1,12,0,0,55365.8,44509.9
103,5,1840.9,170,7.8,491.47,1,25.2,81,45.9,634.7,21,0,0,56671.8,46815
103,6,1864.4,170,7.8,491.47,1,28,76,57.4,384.4,20,0,0,52928.7,42443.4
103,7,2036,173,7.9,494.38,1,30.5,68,178.3,222.1,9,0,0,55610.4,41562.4
103,8,2217.2,175,7.9,494.38,1,30.2,68,171.3,84,10,0,0,56508.5,41949.3
103,9,1918.6,177,8,494.38,1,29.7,71,201.9,198.9,7,0,0,53588.2,42183.8
103,10,2274.3,177,8,494.38,1,24.7,71,125.3,25.5,6,0,0,57923.3,44758.3
103,11,2164.3,190,8.4,494.38,1,22.3,75,99.3,46,8,0,0,58232.2,41753.6
103,12,1996.9,206,8.9,494.38,1,16.5,70,60.5,86.8,14,0,0,65050.2,43582.2
104,1,2307.3,206,8.9,494.38,1,16.7,67,95.7,20,6,0,0,59691.8,40527.6
104,2,1918.5,206,8.9,494.38,1,17.3,72,78.9,90,11,0,0,52532.6,33604.3
104,3,2100.9,206,8.9,494.38,1,18.9,80,89.3,182,13,0,0,62848.3,42717.7
104,4,1695.8,206,8.9,494.38,0,22.7,75,112.9,87.6,10,0,0,58332.7,39917
104,5,1579.6,206,8.9,494.38,0,26.1,78,82.1,302.8,18,0,0,60761.7,41782
104,6,1552.5,206,8.9,494.38,0,30,73,146.9,248.3,9,0,0,57568.4,39364.3
104,7,1607.7,206,8.9,495.61,0,30,72,169.4,316.8,13,0,0,59994.7,39174.6
104,8,1360,206,8.9,495.61,0,28.6,76,121.8,728.2,23,0,0,58896.1,38222
104,9,1510.7,206,8.9,495.61,0,27.4,74,151.2,309.9,14,0,0,57138.2,39160.8
104,10,1645.8,206,8.9,495.61,0,25.2,78,111.6,135.3,11,0,0,62296.2,42290.2
104,11,1641.5,206,8.9,495.61,0,23.5,79,107.2,22.6,9,0,0,60909.1,40907
104,12,1510.8,222,9.4,498.11,0,18.9,79,39.3,75.7,11,0,0,66542.1,43014.9
105,1,1124.2,228,9.6,498.47,0,16.2,84,27.1,256,20,0,0,62491.1,40055.6
105,2,1063.3,232,9.8,491.53,0,15.5,80,80.1,78.9,17,0,0,55880.9,34193.3
105,3,1268.2,235,9.9,491.53,0,17.5,75,90.3,285.7,19,0,0,65094.3,42476.9
105,4,1621.4,244,10.2,491.27,0,24,76,81.9,184.4,14,0,0,59818.3,39173.8
105,5,1741,247,10.3,491.27,0,27.1,71,104,186.7,15,0,0,62641.3,41494.9
105,6,1568.8,258,10.6,496.38,0,29.4,72,125.6,429.8,21,0,0,58943.4,38509.9
105,7,1704.3,263,10.8,496.38,0,30.3,70,192.7,174.6,13,0,0,60814.2,37955.7
105,8,1892,267,10.9,496.38,0,30.1,67,187.5,141.4,14,0,0,63103.4,40261.5
105,9,1558.1,268,11,501.92,0,27.8,76,90.8,428.5,22,0,0,56229.4,37140.8
105,10,1646.9,275,11.2,501,0,27,75,132.1,137.6,16,0,0,62802.4,41036.6
105,11,1669.7,282,11.4,501,0,22.6,74,86.4,111.6,11,0,0,62796,41154.8
105,12,1897.4,298,11.9,501.4,0,20.1,71,84.8,16.5,6,0,0,69375.3,42930.1
106,1,1657.7,307,12.2,501.4,0,18.3,74,79.2,21.8,11,0,0,60035.1,37913.9
106,2,1514.1,314,12.5,501.4,0,17,69,70,123.7,8,0,0,57307.8,35613.8
